"Make","n","parent"
"Origin",,
"McLaren Automotive",1,"Origin"
"Roush Performance",1,"Origin"
"Mercedes-Benz",5,"Origin"
"Aston Martin",1,"Origin"
"Lamborghini",2,"Origin"
"Rolls-Royce",1,"Origin"
"Alfa Romeo",2,"Origin"
"Land Rover",4,"Origin"
"Mitsubishi",4,"Origin"
"Volkswagen",3,"Origin"
"Chevrolet",7,"Origin"
"Cadillac",6,"Origin"
"Chrysler",3,"Origin"
"Infiniti",4,"Origin"
"Maserati",2,"Origin"
"Bentley",2,"Origin"
"Ferrari",2,"Origin"
"Genesis",3,"Origin"
"Hyundai",3,"Origin"
"Lincoln",2,"Origin"
"Porsche",3,"Origin"
"Jaguar",4,"Origin"
"Nissan",6,"Origin"
"Subaru",3,"Origin"
"Toyota",4,"Origin"
"Acura",2,"Origin"
"Buick",3,"Origin"
"Dodge",5,"Origin"
"Honda",3,"Origin"
"Lexus",5,"Origin"
"Lotus",1,"Origin"
"Mazda",2,"Origin"
"smart",1,"Origin"
"Tesla",1,"Origin"
"Volvo",2,"Origin"
"Audi",5,"Origin"
"Fiat",3,"Origin"
"Ford",8,"Origin"
"Jeep",6,"Origin"
"MINI",1,"Origin"
"BMW",9,"Origin"
"GMC",4,"Origin"
"Kia",4,"Origin"
"Ram",3,"Origin"
